KP1: 0.00; KP2: 0.00; KP3: 4136.00
KP1: 152.00; KP2: 0.00; KP3: 2207.00
KP1: 311.00; KP2: 0.00; KP3: -257.00
KP1: 464.00; KP2: 0.00; KP3: 391.00
KP1: 379.00; KP2: 0.00; KP3: 436.00
KP1: 130.00; KP2: 0.00; KP3: -186.00
KP1: 265.00; KP2: 0.00; KP3: 194.00
KP1: 417.00; KP2: 0.00; KP3: 231.00
KP1: 453.00; KP2: 0.00; KP3: 33.00
KP1: 377.00; KP2: 0.00; KP3: 25.00
KP1: 407.00; KP2: 0.00; KP3: 80.00
KP1: 434.00; KP2: 0.00; KP3: 122.00
KP1: 331.00; KP2: 0.00; KP3: 153.00
KP1: 265.00; KP2: 0.00; KP3: 201.00
KP1: 306.00; KP2: 0.00; KP3: 226.00
KP1: 369.00; KP2: 0.00; KP3: 109.00
KP1: 401.00; KP2: 0.00; KP3: 14.00
KP1: 332.00; KP2: 0.00; KP3: 30.00
KP1: 247.00; KP2: 0.00; KP3: 81.00
KP1: 274.00; KP2: 0.00; KP3: 127.00
KP1: 381.00; KP2: 0.00; KP3: 178.00
KP1: 362.00; KP2: 0.00; KP3: 215.00
KP1: 302.00; KP2: 0.00; KP3: 137.00
KP1: 376.00; KP2: 0.00; KP3: 27.00
KP1: 450.00; KP2: 0.00; KP3: 82.00
KP1: 357.00; KP2: 0.00; KP3: 136.00
KP1: 248.00; KP2: 0.00; KP3: 185.00
KP1: 292.00; KP2: 0.00; KP3: 179.00
KP1: 411.00; KP2: 0.00; KP3: 99.00
KP1: 368.00; KP2: 0.00; KP3: 33.00
KP1: 154.00; KP2: 0.00; KP3: 79.00
KP1: 159.00; KP2: 0.00; KP3: 128.00
KP1: 311.00; KP2: 0.00; KP3: 179.00
KP1: 427.00; KP2: 0.00; KP3: 192.00
KP1: 357.00; KP2: 0.00; KP3: 120.00
KP1: 245.00; KP2: 0.00; KP3: 76.00
KP1: 288.00; KP2: 0.00; KP3: 73.00
KP1: 410.00; KP2: 0.00; KP3: 128.00
KP1: 406.00; KP2: 0.00; KP3: 177.00
KP1: 320.00; KP2: 0.00; KP3: 213.00
KP1: 376.00; KP2: 0.00; KP3: 127.00
KP1: 455.00; KP2: 0.00; KP3: 10.00
KP1: 430.00; KP2: 0.00; KP3: 56.00
KP1: 383.00; KP2: 0.00; KP3: 101.00
KP1: 312.00; KP2: 0.00; KP3: 150.00
KP1: 370.00; KP2: 0.00; KP3: 163.00
KP1: 443.00; KP2: 0.00; KP3: 136.00
KP1: 408.00; KP2: 0.00; KP3: 89.00
KP1: 376.00; KP2: 0.00; KP3: 65.00
KP1: 338.00; KP2: 0.00; KP3: 120.00
KP1: 339.00; KP2: 0.00; KP3: 171.00
KP1: 292.00; KP2: 0.00; KP3: 217.00
KP1: 278.00; KP2: 0.00; KP3: 152.00
KP1: 374.00; KP2: 0.00; KP3: 32.00
KP1: 432.00; KP2: 0.00; KP3: 93.00
KP1: 360.00; KP2: 0.00; KP3: 132.00
KP1: 325.00; KP2: 0.00; KP3: 181.00
KP1: 364.00; KP2: 0.00; KP3: 226.00
KP1: 358.00; KP2: 0.00; KP3: 161.00
KP1: 301.00; KP2: 0.00; KP3: 15.00
KP1: 304.00; KP2: 0.00; KP3: 57.00
KP1: 295.00; KP2: 0.00; KP3: 136.00
KP1: 268.00; KP2: 0.00; KP3: 184.00
KP1: 274.00; KP2: 0.00; KP3: 230.00
KP1: 306.00; KP2: 0.00; KP3: 188.00
KP1: 348.00; KP2: 0.00; KP3: 39.00
KP1: 335.00; KP2: 0.00; KP3: 16.00
KP1: 266.00; KP2: 0.00; KP3: 73.00
KP1: 292.00; KP2: 0.00; KP3: 119.00
KP1: 351.00; KP2: 0.00; KP3: 170.00
KP1: 407.00; KP2: 0.00; KP3: 213.00
KP1: 322.00; KP2: 0.00; KP3: 177.00
KP1: 231.00; KP2: 0.00; KP3: 73.00
