th3 0.00; d_4 0.00 
th3 0.01; d_4 0.00 
th3 0.09; d_4 0.00 
th3 0.09; d_4 0.00 
th3 0.09; d_4 0.01 
th3 0.11; d_4 0.02 
th3 0.11; d_4 0.02 
th3 0.11; d_4 0.02 
th3 0.11; d_4 0.03 
th3 0.12; d_4 0.03 
th3 0.12; d_4 0.04 
th3 0.11; d_4 0.05 
th3 0.12; d_4 0.05 
th3 0.13; d_4 0.05 
th3 0.12; d_4 0.05 
th3 0.11; d_4 0.06 
th3 0.12; d_4 0.08 
th3 0.13; d_4 0.08 
th3 0.13; d_4 0.08 
th3 0.12; d_4 0.08 
th3 0.13; d_4 0.09 
th3 0.14; d_4 0.10 
th3 0.13; d_4 0.10 
th3 0.13; d_4 0.10 
th3 0.13; d_4 0.10 
th3 0.15; d_4 0.11 
th3 0.14; d_4 0.12 
th3 0.13; d_4 0.13 
th3 0.14; d_4 0.13 
th3 0.15; d_4 0.13 
th3 0.15; d_4 0.14 
th3 0.14; d_4 0.15 
th3 0.14; d_4 0.15 
th3 0.16; d_4 0.15 
th3 0.15; d_4 0.15 
th3 0.14; d_4 0.16 
th3 0.15; d_4 0.17 
th3 0.16; d_4 0.17 
th3 0.16; d_4 0.17 
th3 0.15; d_4 0.17 
th3 0.16; d_4 0.18 
th3 0.17; d_4 0.20 
th3 0.16; d_4 0.20 
th3 0.15; d_4 0.20 
th3 0.16; d_4 0.20 
th3 0.17; d_4 0.21 
th3 0.17; d_4 0.22 
th3 0.16; d_4 0.22 
th3 0.17; d_4 0.23 
th3 0.18; d_4 0.23 
th3 0.17; d_4 0.23 
th3 0.16; d_4 0.24 
th3 0.17; d_4 0.25 
th3 0.18; d_4 0.25 
th3 0.18; d_4 0.25 
th3 0.17; d_4 0.26 
th3 0.17; d_4 0.26 
th3 0.18; d_4 0.27 
th3 0.18; d_4 0.27 
th3 0.18; d_4 0.27 
th3 0.18; d_4 0.28 
th3 0.19; d_4 0.29 
th3 0.19; d_4 0.29 
th3 0.18; d_4 0.29 
th3 0.19; d_4 0.30 
th3 0.20; d_4 0.31 
th3 0.19; d_4 0.32 
th3 0.19; d_4 0.32 
th3 0.19; d_4 0.32 
th3 0.20; d_4 0.32 
th3 0.20; d_4 0.33 
th3 0.19; d_4 0.34 
th3 0.20; d_4 0.35 
th3 0.21; d_4 0.34 
th3 0.20; d_4 0.35 
th3 0.19; d_4 0.36 
th3 0.20; d_4 0.36 
th3 0.21; d_4 0.37 
th3 0.21; d_4 0.37 
th3 0.20; d_4 0.37 
th3 0.21; d_4 0.38 
th3 0.22; d_4 0.39 
th3 0.21; d_4 0.39 
th3 0.20; d_4 0.39 
th3 0.21; d_4 0.39 
th3 0.23; d_4 0.40 
th3 0.22; d_4 0.41 
th3 0.21; d_4 0.42 
th3 0.22; d_4 0.42 
th3 0.23; d_4 0.42 
th3 0.22; d_4 0.42 
th3 0.22; d_4 0.43 
th3 0.22; d_4 0.44 
th3 0.23; d_4 0.44 
th3 0.23; d_4 0.44 
th3 0.23; d_4 0.45 
th3 0.23; d_4 0.46 
th3 0.23; d_4 0.46 
th3 0.23; d_4 0.46 
th3 0.24; d_4 0.46 
th3 0.24; d_4 0.47 
th3 0.24; d_4 0.48 
th3 0.24; d_4 0.49 
th3 0.24; d_4 0.49 
th3 0.24; d_4 0.49 
th3 0.24; d_4 0.49 
th3 0.25; d_4 0.50 
th3 0.25; d_4 0.51 
th3 0.25; d_4 0.51 
th3 0.25; d_4 0.51 
th3 0.25; d_4 0.51 
th3 0.25; d_4 0.52 
th3 0.25; d_4 0.53 
th3 0.26; d_4 0.53 
th3 0.26; d_4 0.54 
th3 0.26; d_4 0.54 
th3 0.26; d_4 0.55 
th3 0.26; d_4 0.55 
th3 0.26; d_4 0.56 
th3 0.26; d_4 0.56 
th3 0.26; d_4 0.56 
th3 0.26; d_4 0.58 
th3 0.26; d_4 0.58 
th3 0.26; d_4 0.58 
th3 0.27; d_4 0.58 
th3 0.27; d_4 0.59 
th3 0.27; d_4 0.60 
th3 0.27; d_4 0.60 
th3 0.27; d_4 0.60 
th3 0.27; d_4 0.60 
th3 0.27; d_4 0.61 
th3 0.28; d_4 0.62 
th3 0.28; d_4 0.62 
th3 0.28; d_4 0.62 
th3 0.28; d_4 0.62 
th3 0.28; d_4 0.63 
th3 0.28; d_4 0.65 
th3 0.29; d_4 0.65 
th3 0.29; d_4 0.64 
